Date,Ticker,Close,Volume
2025-12-22,ADWYA,5.95,0
2025-12-22,ALKIM,12.55,0
2025-12-22,AL,150.02,0
2025-12-22,AB,47.5,163
2025-12-22,AMS,0.95,0
2025-12-22,ATB,3.7,0
2025-12-22,ATL,6.05,120
2025-12-22,ARTES,11.7,0
2025-12-22,ASSAD,3.32,0
2025-12-22,ASSMA,56.5,0
2025-12-22,AST,46.0,0
2025-12-22,TJARI,65.7,173
2025-12-22,TJL,29.0,0
2025-12-22,BIAT,107.49,186
2025-12-22,BH,10.39,0
2025-12-22,BHASS,63.0,129
2025-12-22,BHL,3.79,0
2025-12-22,BNA,12.05,0
2025-12-22,BNASS,3.27,0
2025-12-22,BT,6.4,0
2025-12-22,BTE,3.55,0
2025-12-22,CC,1.87,0
2025-12-22,CELL,3.1,0
2025-12-22,CREAL,13.3,0
2025-12-22,CIL,27.17,0
2025-12-22,SCB,0.5,0
2025-12-22,CITY,19.5,100
2025-12-22,DH,13.13,102
2025-12-22,ELBEN,2.28,0
2025-12-22,LSTR,0.3,0
2025-12-22,NAKL,15.0,0
2025-12-22,ECYCL,12.61,0
2025-12-22,GIF,0.44,0
2025-12-22,HL,7.6,0
2025-12-22,ICF,85.9,232
2025-12-22,LNDOR,14.74,203
2025-12-22,MAG,10.6,0
2025-12-22,AMV,6.8,0
2025-12-22,SAM,4.7,0
2025-12-22,MIP,0.08,0
2025-12-22,MNP,6.2,0
2025-12-22,MPBS,8.3,232
2025-12-22,NBL,4.08,0
2025-12-22,PLAST,1.84,0
2025-12-22,OTH,8.85,0
2025-12-22,PX1,0.13,943
2025-12-22,PGH,18.0,256
2025-12-22,SAH,13.8,0
2025-12-22,SMD,0.59,0
2025-12-22,SERVI,0.22,0
2025-12-22,SFBT,12.49,0
2025-12-22,SIAME,2.8,0
2025-12-22,SIPHA,4.5,0
2025-12-22,SITS,3.11,0
2025-12-22,SMART,19.0,0
2025-12-22,SOPAT,2.05,0
2025-12-22,SOMOC,0.43,0
2025-12-22,STPAP,2.83,0
2025-12-22,SOTEM,3.0,0
2025-12-22,SOTET,5.07,312
2025-12-22,MGR,8.99,345
2025-12-22,SOTUV,13.9,464
2025-12-22,SPDIT,12.8,0
2025-12-22,STA,37.7,0
2025-12-22,STAR,58.45,242
2025-12-22,STB,4.1,0
2025-12-22,STEQ,6.5,0
2025-12-22,STIP,2.98,168
2025-12-22,SPHAX,3.9,0
2025-12-22,TGH,0.85,0
2025-12-22,TLNET,6.8,0
2025-12-22,TPR,10.8,242
2025-12-22,TRE,9.49,0
2025-12-22,TAIR,0.34,0
2025-12-22,TLS,32.15,0
2025-12-22,TINV,42.0,278
2025-12-22,TBIDX,231.68,231
2025-12-22,TVAL,17.48,0
2025-12-22,UADH,0.56,0
2025-12-22,UBCI,34.2,0
2025-12-22,UIB,24.9,0
2025-12-22,UMED,9.06,0
2025-12-22,WIFAK,7.8,0
